OK;0;Centrale de La Serve;Libellé;Ad API;CE;Astreinte;Histo.;N° page;N° page;N° page;écri.;Automate;Val.API mini;Val. API maxi;Val. fin mini;Val. fin maxi;Unités;Nb  0.00;Lib.inactif;Lib.actif;#
X;102;;Gonflage trop long accumulateur ghy;%M1038;182;def1038|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;104;;Défaut acquisition pression accumulateur GHY;%M1040;184;def1040|groupe1;;;;;;1;0;1;0;1;;;Ouverte;Fermée;#
X;108;;Alarme circulation huile pivoterie;%M1044;188;def1044|groupe1;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;109;;Défaut sens de rotation turbine;%M1045;189;def1045|groupe1;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;110;;Niveau bas huile pivoterie;%M1046;190;def1046|groupe1;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;111;;Frein desseré;%M1047;191;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;112;;Défaut frein;%M1048;192;def1048|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;113;;Défaut mesure de vitesse;%M1049;193;def1049|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;114;;Défaut acquisition mesure de puissance;%M1050;194;def1050|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;115;;Défaut recopie position pales;%M1051;195;def1052|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;117;;Défaut com entrées sorties déportées Ilots coffret groupe;%M1053;197;def1053|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;118;;Défaut module entrées sorties déportées Ilots coffret groupe;%M1054;198;def1054|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;119;;Disjoncteur pont d'excitation ouvert;%M1055;199;def1055|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;120;;Mini courant d'excitation;%M1056;200;def1056|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;121;;Maxi courant d'excitation;%M1057;201;def1057|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;122;;Retour de marche contacteur d'excitation;%M1058;202;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;123;;Retour tension trop long;%M1059;203;def1059|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;124;;Fusion fusible pont d'excitation;%M1060;204;def1060|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;125;;Surchauffe pont d'excitation;%M1061;205;def1061|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;126;;Maxi tension stator;%M1062;206;def1062|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;127;;Défaut isolement rotor;%M1063;207;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;128;;Surchauffe transformateur d'excitation;%M1064;208;def1064|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;129;;Défaut électrique moteur ppe à graisse;%M1065;209;def1065|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;130;;Niveau bas bac à graisse;%M1066;210;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;137;;Retour de marche moteur ppe à graisse;%M1073;217;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;144;;Défaut acquisition mesure bac à graisse;%M1080;224;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;145;;Défaut acquisition température huile pivot alternateur;%M1081;225;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;146;;Défaut acquisition température palier inférieur alternateur;%M1082;226;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;147;;Défaut acquisition température palier superieur turbine;%M1083;227;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;148;;Défaut acquisition température palier superieur alternateur;%M1084;228;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;154;;Défaut acquisition pression d'huile accumulateur GHY;%M1090;234;def1090|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;155;;Défaut acquisition courant d'excitation;%M1091;235;def1091|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
